# name	description	domain	kind   (from the legacy tree; gold set excluded)
nix-eval-jobs	Hydra's builtin hydra-eval-jobs as a standalone	development	cli-tool
nixops-vbox	NixOps plugin for VirtualBox VMs	cloud	cli-tool
nl-nl	Hyphen dictionary for Dutch from LibreOffice	localization	data
ocp-indent	Customizable tool to indent OCaml code	development	cli-tool
openbsd_snmp3_check	SNMP v3 check for OpenBSD systems state monitoring	monitoring	server
openmvs	Open Multi-View Stereo reconstruction library	science	application
openpaperwork-gtk	Reusable GTK components of Paperwork	office	application
opensnitch-ebpf	eBPF process monitor module for OpenSnitch	hardware	driver
openssh	Implementation of the SSH protocol	networking	cli-tool
openssh_hpn	Implementation of the SSH protocol with high performance networking patches	networking	cli-tool
openvpn	Robust and highly flexible tunneling application	networking	cli-tool
orbit	LV2 time event manipulation plugin bundle	audio	application
osdnRelease	M+ Outline Fonts (legacy OSDN release)	fonts	data
osmc-skin	Default skin for OSMC	video	plugin
pass	Password-store browser using fzf in tmux	terminal	plugin
pass-import	Pass extension for importing data from existing password managers	security	cli-tool
percona-xtrabackup	Non-blocking backup tool for MySQL	backup	cli-tool
pg_graphql	GraphQL support for PostgreSQL	database	plugin
plant	Alternative Plant component of home assistant	home-automation	plugin
plasmatube	Kirigami YouTube video player based on QtMultimedia and youtube-dl	desktop	application
pluginUtils	Some simple utility lv2 plugins	audio	application
privmsg	ZNC privmsg module	networking	application
profondo	profondo font for LilyPond	typesetting	plugin
proto	Demonstrative prototype oscilloscope built using the BitScope Library	electronics	application
puae	Amiga emulator based on WinUAE	emulators	plugin
qgis	Free and Open Source Geographic Information System	geo	application
quake3arenadata	Quake 3 Arena content	games	application
quantum-espresso	Electronic-structure calculations and materials modeling at the nanoscale	biology	application
rainloop-community	Simple, modern & fast web-based email client	email	server
resynthesizer	Suite of gimp plugins for texture synthesis	graphics	application
rocq-core	Rocq Prover	math	cli-tool
roo-cline	AI-powered autonomous coding agent that lives in your editor	editors	plugin
rtl-sdr	Software to turn the RTL2832U into a SDR receiver	radio	application
rust-out-of-tree-module	Basic template for an out-of-tree Linux kernel module written in Rust	hardware	driver
rust-rover	Rust IDE from JetBrains	editors	application
samba	Standard Windows interoperability suite of programs for Linux and Unix	filesystems	server
samsung-unified-linux-driver	Samsung's Linux printing drivers; includes binaries without source code	printing	driver
samsung-unified-linux-driver_1_00_37	Unified Linux Driver for Samsung printers and scanners	printing	driver
search-guard	Elasticsearch plugin that offers encryption, authentication, and authorisation	database	server
sierra-breeze-enhanced	OSX-like window decoration for KDE Plasma written in C++	themes	data
simple-dftd3	Reimplementation of the DFT-D3 program	science	library
smlar	Compute similary of any one-dimensional arrays	database	plugin
snes9x2010	Optimized port/rewrite of SNES9x 1.52+ to Libretro	emulators	plugin
sslscan	Tests SSL/TLS services and discover supported cipher suites	security	cli-tool
sublime-merge	Git client from the makers of Sublime Text	vcs	cli-tool
svn-all-fast-export	Fast-import based converter for an svn repo to git repos	vcs	cli-tool
tabstackengine	"Tabbing" front-end to stackengine	typesetting	plugin
tamil-classical	Free and open source fonts for Indian languages (Classical Tamil)	fonts	data
thunderbird	Full-featured e-mail client	email	application
thunderbird	Full-featured e-mail client	web	application
thunderbird-esr-bin-unwrapped	Mozilla Thunderbird, a full-featured email client (binary package)	email	application
timeshift	System restore tool for Linux	backup	application
timeshift-minimal	System restore tool for Linux (without runtime dependencies)	backup	application
tt-kmd	Tenstorrent Kernel Module	hardware	driver
vessel	Fluid physics based puzzle game	games	application
virtualbox	PC emulator	virtualization	application
virtualboxGuestAdditions	Guest additions for VirtualBox	virtualization	application
visualization-fishbmc	FishBMC visualization for kodi	video	plugin
web	Enterprise-class open source distributed monitoring solution (web frontend)	monitoring	server
winetricks	Script to install DLLs needed to work around problems in Wine	emulators	application
zfs	ZFS Filesystem Linux Userspace Tools	filesystems	driver
zfs_2_3	ZFS Filesystem Linux Kernel Module	filesystems	driver
zstd	Zstandard real-time compression algorithm	compression	cli-tool
